y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
Antrophic,199.81114,-0.15051,-102.04574,-0.88309,229.58577,-121.01275,Q4,0.73649,-0.42094,6.84085,2.73087,True,948.03284
OpenAI,200.29132,-0.87257,-100.80823,-0.88238,230.07674,-120.12811,Q3,-2.15175,2.06058,13.83799,-0.60782,True,951.05248
OpenAI,201.42276,0.25837,-97.43537,-0.88199,231.21668,-123.15984,Q2,-0.87317,0.78311,10.8645,-1.84051,True,958.39612
Antrophic,199.98707,-0.12819,-99.03158,-0.88596,229.77397,-120.78391,Q4,1.19529,-0.21103,11.28446,1.50216,True,950.41958
Antrophic,200.15165,-0.57297,-99.13415,-0.88971,229.94359,-120.37167,Q3,-0.17547,0.94124,12.06938,4.58646,True,951.19119
OpenAI,199.36954,-0.97873,-102.00821,-0.89309,229.18888,-121.50871,Q4,-1.54276,1.48694,8.07574,-6.0775,True,945.84362
OpenAI,199.66704,-0.59656,-99.66146,-0.88987,229.48156,-119.05383,Q4,-0.59086,0.70812,6.80354,-2.33491,True,948.50449
OpenAI,197.70958,0.24424,-90.52344,-0.89,227.53035,-118.76282,nan,-1.43317,-0.49712,13.54547,-6.19878,True,943.2862
OpenAI,200.17751,-0.01737,-100.0425,-0.88923,229.9944,-119.66634,Q3,-2.29488,-0.44777,5.79144,-0.4794,True,950.86629
OpenAI,199.79639,-0.39439,-98.62212,-0.89004,229.60442,-120.7104,Q4,1.04763,-0.59724,10.44757,-1.27771,True,949.6709
Antrophic,198.96645,-0.09617,-104.28779,-0.89895,228.792,-120.14135,nan,0.97501,-1.02399,12.60202,2.81797,True,942.68834
OpenAI,198.858,-0.62404,-96.75485,-0.89374,228.68868,-114.91008,nan,2.77829,1.64637,13.3603,-4.33883,True,945.91258
Antrophic,199.98141,-0.63309,-101.18213,-0.88001,229.74861,-121.70218,Q4,-0.75264,1.29803,14.16372,1.93499,True,949.31599
Mistral,202.35536,1.25273,-106.76268,-0.88706,232.15877,-123.86914,Q1,-0.39439,-1.45084,13.93854,-0.87972,True,958.39546
Antrophic,199.57902,-1.45082,-97.15501,-0.89238,229.37029,-120.15433,Q4,1.44473,-1.05674,13.10637,5.61423,True,949.31762
Antrophic,199.93941,1.18361,-96.92296,-0.89502,229.73423,-118.6205,Q4,-0.868,-0.46142,11.70428,-0.13524,True,951.23557
Mistral,199.08571,-1.17519,-98.874,-0.88284,228.88705,-120.67952,Q4,2.69409,1.45289,10.02131,0.43949,True,945.99153
OpenAI,201.43665,-0.34654,-99.81224,-0.88446,231.23467,-123.78017,Q2,0.52014,0.77093,14.2878,-3.79642,True,957.27712
Antrophic,199.98494,-0.66551,-97.52666,-0.9047,229.81484,-120.34184,Q4,0.06291,0.64139,12.68133,-2.80876,True,951.16136
Mistral,198.59748,-1.5814,-100.27883,-0.88095,228.3834,-119.19514,nan,-2.31278,0.19941,13.00469,3.36589,True,942.848
Antrophic,200.37526,0.62146,-104.68157,-0.9012,230.18292,-118.45186,Q3,-0.19689,0.56024,11.46178,1.95655,True,949.53553
OpenAI,198.23786,0.44946,-95.0706,-0.89488,228.06923,-118.81041,nan,-1.08871,1.40642,14.02273,-2.92954,True,943.65399
OpenAI,200.90616,0.07166,-94.17077,-0.88344,230.6978,-119.76345,Q3,-1.5925,0.46722,11.60535,2.75841,True,957.44542
Antrophic,201.81313,1.45253,-99.4313,-0.90748,231.6403,-124.04721,Q2,-0.35941,0.63943,12.30653,-1.18369,True,959.34999
OpenAI,202.37526,1.02939,-101.54288,-0.89502,232.20693,-124.8099,Q1,0.69927,-1.25843,10.66112,-4.92327,True,961.10484
Mistral,199.79246,-0.18811,-98.51334,-0.88999,229.57967,-121.40027,Q4,-0.49416,-0.90191,7.69533,4.57489,True,949.70563
OpenAI,200.91735,-0.10714,-104.86789,-0.88815,230.71886,-120.80187,Q3,-1.17021,0.19019,10.05576,-2.42062,True,952.15279
OpenAI,197.90496,0.33046,-101.01602,-0.89195,227.71868,-118.47427,nan,1.35547,-0.91524,10.31645,-2.53028,True,939.01679
Antrophic,198.60938,-0.41965,-98.49178,-0.9061,228.4251,-119.49198,nan,0.24862,-0.76956,8.16413,1.29934,True,943.80099
